mine_x;mine_y
6.27622;3.95551
3.22085;1.96168
1.5838;0.949028
1.3384;2.63012
1.33845;5.46185
5.33884;3.49293
6.20272;0.426378
3.48158;4.26122
4.58372;5.32005
4.05088;1.41665
1.35449;3.72325
3.37487;4.61533
0.562856;5.90141
3.90476;3.48732
3.57991;0.690836
3.38889;4.5172
0.453781;2.97118
6.81317;1.96015
4.22246;2.05961
2.73831;3.6055
4.11956;4.53466
3.87049;0.339304
2.09225;5.03497
3.88477;4.41043
3.19448;4.34876
6.33929;0.260979
0.839252;0.018567
2.71641;3.14809
1.09924;5.73013
2.19968;0.580393
1.44488;3.93766
2.68676;4.4254
4.9551;4.59799
2.62812;5.84916
1.22687;0.472479
4.05325;1.74079
2.89506;2.18597
1.80354;2.53607
3.2496;0.800824
2.89981;3.52636
6.6148;1.93297
2.22808;1.43914
-1.03838;0.078721
-1.13586;0.987646
-0.156169;1.68617
-1.86642;0.648174
-0.81729;1.9974
