mine_x;mine_y
3.88771;3.6834
6.65247;1.56252
3.27272;4.70471
4.89272;4.64306
3.79197;2.06723
0.701437;2.40037
3.69289;4.1681
3.39671;3.22173
3.74067;2.11887
3.37338;0.83273
1.13186;0.050387
6.31814;4.44691
3.49026;3.31293
0.59574;4.29796
6.16733;2.39988
4.28482;5.11141
0.749401;4.42347
3.29651;2.37427
4.17535;3.24121
1.87091;3.44302
5.33188;4.16737
5.02154;5.60044
4.50117;2.85866
0.519085;4.32083
6.87501;3.43322
1.25947;1.34113
3.75109;3.31199
0.971079;1.0855
6.51267;1.49326
2.5255;3.38743
2.01544;3.98073
0.173034;3.82718
5.17177;0.672074
5.481;1.03212
1.73566;3.96393
1.07198;2.04831
0.51354;5.885
0.043216;0.481519
1.66947;3.14242
1.61032;3.95954
2.08345;4.06127
5.60248;2.69933
-1.93173;0.693476
-0.399444;0.478185
-1.18702;0.736611
-0.154583;1.31368
-1.38143;1.87625
