mine_x;mine_y
5.98394;2.9285
1.47978;3.76687
0.9636;4.85991
1.55647;2.06904
0.787342;3.2522
2.59024;2.6773
1.16406;5.23696
6.83117;0.651567
3.53081;4.22654
3.50726;4.84118
6.62483;0.778123
3.90002;2.86895
0.45196;4.23771
2.75941;1.78539
3.23892;4.9631
1.07425;2.90724
0.089275;5.79489
3.35843;1.47707
5.15528;0.48677
6.09714;2.13111
5.21687;3.4601
1.53665;5.07249
4.1825;1.92907
3.96699;3.74533
5.44338;2.04575
4.87558;5.54177
3.59404;2.94956
0.449332;4.17443
2.85736;2.96433
6.78258;3.90363
1.68529;3.9787
1.07018;5.22862
1.51957;5.69757
2.19798;1.964
4.02534;3.23408
3.54504;4.72656
0.712348;2.19838
6.89606;0.142418
3.89232;5.72135
0.86568;1.29992
5.68666;3.24476
4.29075;4.26893
-0.121181;0.341974
-1.9401;0.098047
-0.186546;0.87151
-0.621066;1.31969
-0.854161;0.426558
