mine_x;mine_y
1.11295;2.4382
3.44875;5.28607
3.80024;4.60954
6.99689;2.7596
5.90389;3.87016
4.06342;4.03636
6.95225;1.59332
6.91273;3.34168
6.36383;2.42538
2.69041;0.945079
4.28906;2.62287
6.72402;1.66208
6.48674;3.07832
6.14493;1.65051
0.88999;5.55386
3.75762;2.85941
1.54241;1.71786
1.51151;0.869746
6.56915;1.79348
3.72962;4.77073
0.17709;3.02682
3.46237;4.53235
0.95209;2.09094
1.13391;5.76806
0.571752;3.55027
6.14741;2.27552
2.54112;3.63109
3.00695;4.94194
4.2895;4.31481
1.329;1.54232
2.2515;4.91778
0.797065;0.860474
4.38813;3.11027
1.04641;2.58256
4.07395;3.22836
0.189555;4.26577
3.39803;4.13058
5.72619;0.78266
0.809032;0.370847
0.107564;3.76605
5.7444;4.03745
6.49183;4.42798
-1.12581;1.51543
-0.810631;0.014921
-1.60588;1.02243
-0.112639;0.651005
-1.62995;0.30187
