mine_x;mine_y
0.733242;4.72702
2.98279;2.18504
1.10324;5.35913
5.2447;4.83643
4.30459;0.071039
3.85211;1.18601
2.3701;5.59793
2.60297;1.91614
3.64609;1.32253
0.833426;4.71274
5.00769;0.910481
4.18948;1.94812
5.39208;1.1806
0.342546;4.37327
0.085908;0.111506
4.53737;3.99187
4.24216;4.86702
0.486653;1.28551
4.81373;1.21546
3.48018;0.377275
3.10553;5.11174
2.46135;2.81486
1.04803;0.049566
5.62633;2.05201
6.37025;5.13223
5.17511;3.68863
3.73044;2.63861
3.77274;1.61418
6.87165;4.46305
2.74032;4.32683
4.77575;5.71245
3.95339;0.697099
0.255628;4.67803
4.74672;4.61988
3.19858;0.607196
2.80774;5.83766
1.92601;0.533013
4.17497;1.18394
6.58515;2.70252
1.05396;1.92766
3.12567;5.84793
3.70058;4.2237
-0.094303;0.143319
-0.235152;2.38226
-1.85948;2.15825
-1.74063;2.49052
-0.063736;2.07612
