mine_x;mine_y
6.86927;2.34372
5.9126;0.671792
2.74756;2.57212
3.11601;3.82533
5.92088;2.03839
3.13376;4.11693
6.24768;0.15131
2.85505;2.99553
5.30978;0.215236
5.34027;5.01693
3.78247;2.74215
6.57771;3.05689
2.09674;5.76039
1.35063;5.85519
3.42098;2.51948
2.11261;1.77822
5.05349;5.49188
1.96159;5.38177
3.46386;3.83344
1.26642;1.9608
1.76284;4.71759
6.81775;5.29118
6.25217;4.72048
0.732767;3.14086
2.13813;1.40863
4.09382;0.172018
4.60926;1.24097
0.926403;0.933099
2.77856;5.64045
5.64058;0.51778
4.54962;1.94947
1.05396;5.54304
3.40111;2.68737
1.80442;2.46053
5.09707;1.43526
3.12048;4.48418
0.149569;4.62292
1.49055;0.602576
6.00562;4.22775
2.83688;1.82386
0.990165;0.692756
0.904231;3.17546
-1.40557;0.677588
-1.15793;0.796173
-1.33481;0.480967
-0.550533;0.522146
-0.342715;0.138286
