mine_x;mine_y
1.00762;2.66531
2.37256;1.8133
2.11544;4.74676
3.52634;4.12822
5.65334;4.156
4.19054;2.75552
3.43214;2.96543
1.23208;3.97422
2.93844;2.28974
2.58621;5.76187
5.63747;0.256583
0.461784;0.403384
2.4755;3.05057
2.27082;3.19722
0.005784;3.49112
1.34254;0.279606
1.95038;4.23986
0.637132;5.31698
0.634013;3.80055
3.24522;2.96019
5.74838;1.19806
2.04458;0.56709
4.06197;4.23023
2.16561;2.44168
5.69248;0.571464
3.36903;4.78788
0.246423;4.44589
3.67995;2.74549
3.32484;3.63055
4.78684;3.18155
5.74183;1.4288
0.423065;2.15661
2.72568;4.92116
2.71216;2.80691
4.83822;2.2912
6.87646;1.35229
2.47145;1.12928
6.60154;4.15706
4.66693;4.14131
5.97947;2.07739
0.210555;3.64983
6.79652;4.21332
-1.61574;2.06711
-0.706374;0.749533
-1.8922;0.132836
-1.64404;1.98748
-0.640034;0.926684
