mine_x;mine_y
0.857965;3.2675
6.88011;2.13532
4.08529;0.326483
5.06412;4.67971
3.19289;1.72588
3.83939;2.34457
6.05786;0.607046
4.94572;2.55618
1.03074;1.13855
5.29194;2.47006
1.9603;0.650148
5.38698;2.04236
2.94241;0.551903
6.85015;1.18444
4.76654;1.37537
3.96793;4.85166
4.03819;1.54627
6.15617;3.54526
2.87913;5.33946
5.14986;4.20395
4.39792;5.19657
4.7289;0.641783
3.31908;0.020756
0.380372;1.38927
2.18704;0.21813
5.52972;2.50839
4.81432;5.98525
6.03752;0.059472
5.15793;0.852233
2.58724;2.04802
4.28249;1.40581
0.075199;1.34229
2.37904;1.81188
5.45647;3.887
4.21024;5.78334
4.1547;1.72332
4.69374;2.43584
1.58157;2.91097
3.24288;0.452212
3.73648;2.28625
1.80132;4.9092
5.68345;2.87823
-1.07023;2.16743
-0.477974;0.169115
-1.03229;1.31196
-0.749194;0.110905
-0.11449;0.490593
