mine_x;mine_y
3.66273;0.705925
6.99153;1.01298
0.701452;5.47048
1.49989;5.34213
0.839822;2.70248
0.156678;0.424811
2.5554;1.41596
6.14267;4.16043
4.98814;4.30152
6.83882;2.69875
5.12498;5.20704
6.76312;3.43834
1.8662;4.84916
0.854551;3.50565
6.94986;2.37789
4.27547;5.81245
0.10505;4.19634
0.980771;3.69886
1.03364;1.51113
2.74908;0.614968
1.96098;0.961339
1.00878;0.307532
6.52538;1.95294
5.83706;3.44912
1.69418;0.238198
4.35769;2.45411
5.1993;0.908301
6.46914;0.963267
3.75935;3.25622
4.3078;5.27881
3.38463;5.30615
3.5561;0.847937
6.88218;2.17811
3.51235;1.30947
1.42958;2.6515
1.88704;3.49603
0.359129;2.67905
0.147958;3.03804
2.54947;4.74841
4.39133;3.81126
6.4184;5.02983
6.51297;3.81298
