mine_x;mine_y
4.51728;4.15443
0.628853;0.426607
2.37211;5.14775
5.43177;2.47161
6.93319;4.31627
2.67762;2.17312
3.00505;0.701436
3.07545;4.33899
6.72172;2.18675
0.801918;0.252723
6.34268;2.18774
6.44591;4.65993
4.01856;3.13988
1.64492;1.33496
5.84367;2.20554
3.77603;0.355908
6.63392;4.404
5.01386;5.2017
3.9301;4.2001
5.79404;0.804284
3.86676;2.13514
6.29198;2.44134
3.12462;5.48802
1.61984;1.02389
4.38602;4.72825
5.49931;0.67328
0.345791;0.931236
6.33195;3.51777
5.47674;3.23016
5.70162;3.70214
3.94181;1.75531
3.20694;3.56915
6.9619;5.5889
0.770254;0.340954
2.36544;1.58508
0.306213;0.791687
0.690304;3.9726
0.4515;1.7654
4.55599;5.25046
1.14549;3.3922
4.5929;4.44686
0.598205;3.9981
