mine_x;mine_y
6.46836;4.94013
0.063532;0.240865
6.4327;2.79982
0.289224;2.13796
0.551779;3.95265
4.42868;3.06218
4.37108;5.06997
4.03783;1.96344
2.01412;1.53853
4.55022;0.39962
4.58858;3.10501
3.19179;3.36268
3.89815;2.58494
5.80244;3.81638
3.1585;0.753284
4.8645;4.98656
1.57262;3.73644
3.63773;3.68045
5.04854;5.33844
1.98537;0.28746
3.8333;2.90811
0.375472;1.65062
4.98019;1.89555
2.2265;4.87421
2.30443;4.652
4.40252;5.68796
5.80384;4.69749
1.22052;3.63079
3.68962;2.50314
6.57017;1.09598
5.06912;3.36963
2.54169;3.24147
2.12409;1.43089
2.7389;5.45642
1.87369;4.27236
6.89348;2.53359
1.55757;3.44777
5.24859;5.14722
0.317627;5.70308
2.48034;1.75009
1.24778;0.711468
6.99131;5.37802
