time;count;mine_x;mine_y;mine_z;robot_x;robot_y;robot_z
36.162000000000006;1;1.19978;1.18358;0.005888;1.2644206829890206;1.1065624231451245;-1.1764458225867885e-05
41.590999999999994;2;0.927104;1.31752;0.00867;1.0355831433387501;1.3696879031182168;-2.036815446333426e-05
198.026;3;2.07518;2.30169;0.008283;2.006959512212376;2.3813908657738745;-7.4588089821366055e-06
219.435;4;1.1864;2.50017;0.005775;1.072508757211734;2.4668825902426352;-1.8695038078692106e-05
243.13600000000002;5;2.22876;1.55589;0.013699;2.2239967590470386;1.4390775289295434;-1.0409432863050377e-05
572.223;6;0.839716;3.28877;0.005964;0.7351599461570039;3.380306384758714;-8.034170296638415e-06
589.949;7;1.52697;5.32417;0.005593;1.3929941719049488;5.278753458795076;-6.0606784886702014e-06
594.931;8;1.21086;5.4125;0.009341;1.3371320308806147;5.3297165761521725;-7.609003938677944e-06
595.586;9;1.16512;5.42037;0.006201;1.2630654764425258;5.311579927941324;-8.923673972587032e-06
689.384;10;2.32541;4.69397;0.005516;2.2926596067563514;4.550099442676341;-1.820083870769651e-05
691.758;11;3.58758;4.50626;0.006601;3.458743502454578;4.53685759726934;-8.625745348340291e-06
692.556;12;3.82868;4.6947;0.007378;3.8273522932359634;4.68703099046512;-8.24557583364166e-06
764.926;13;5.31204;5.33594;0.014141;5.170792722703962;5.345516098405035;-2.3441973025332963e-05
806.057;14;5.29195;4.59343;0.010844;5.1522482931213265;4.5623908424748345;-9.376942617021072e-06
829.382;15;5.42104;4.73707;0.012734;5.346194510686249;4.608220946138966;-4.850579364910901e-06
995.564;16;2.7168;2.03869;0.013143;2.6102364125682502;2.1240709825527433;-1.0638354938932726e-05
1257.897;17;3.0759;3.79826;0.013631;2.949777022228654;3.747366156989802;-7.955664285977382e-06
1514.21;18;3.65206;4.13675;0.010664;3.577614983903772;4.010379010690446;-1.2871587349333469e-05
1706.779;19;5.00668;2.46317;0.006732;4.914747860655569;2.3449940274768757;-1.597501068123508e-05
2325.378;20;6.20514;5.37612;0.005243;6.181450162278201;5.49897144508551;-1.1906932174565732e-05
2385.145;21;4.9467;0.791019;0.005326;4.982561568240882;0.9037743191114146;-8.066157741560415e-06
2434.7470000000003;22;6.77665;4.28965;0.01436;6.636823994732803;4.330470917747615;-1.0286595904119428e-05
2500.212;23;4.83324;4.25543;0.013633;4.6914513389647166;4.2991478285772295;-1.5717512184400956e-05
