mine_x;mine_y
4.76513;0.734582
4.82094;5.32022
3.43894;4.37271
2.12593;0.649676
1.42545;0.478367
4.26205;5.55131
3.4392;3.05506
4.04595;3.92973
5.25591;1.19631
4.94355;4.81732
3.46331;4.029
2.96163;5.15548
0.785142;1.36186
3.80125;5.83421
6.75217;5.94594
2.31943;0.176839
2.35165;5.2557
2.98184;5.34213
6.66128;1.46396
5.26687;0.317315
3.52419;1.33768
1.7452;5.83913
6.11389;0.948244
4.04287;4.83979
3.17039;1.86237
1.58895;4.35217
3.56109;2.77673
0.644772;2.89337
1.8033;1.34904
2.31255;4.99835
4.18959;4.20309
4.65419;5.82535
5.93065;2.38649
5.30339;1.61679
6.32688;0.501645
4.33802;0.177232
3.31811;0.420104
3.99785;2.47759
0.925836;0.901911
4.42144;5.45378
2.55558;0.299948
6.37558;3.92681
