mine_x;mine_y
2.15429;4.22902
2.19873;2.71667
2.27163;3.982
5.23405;3.53342
1.10797;0.795983
4.17895;0.747492
1.36813;2.91275
1.27569;1.71221
2.4795;5.88379
5.57303;1.61235
2.12853;1.58559
6.3854;1.59908
6.71788;4.1703
6.84402;5.41022
3.87783;3.68926
3.96393;2.99634
2.42548;0.442747
2.98693;4.31095
6.38874;1.0812
1.78019;2.40595
5.88045;2.0905
3.46412;3.90774
4.19119;2.70345
5.89968;2.4678
4.29139;3.26561
4.79173;5.30701
2.45576;0.948182
0.586873;3.59154
2.27753;1.53575
3.52642;4.24723
6.4674;3.33679
0.295001;0.477065
6.77804;3.69552
1.32469;3.83834
0.094394;3.23173
4.60034;4.66348
5.27832;2.7225
3.21511;3.21667
5.24651;1.89346
0.710491;5.70422
0.425801;1.4639
4.19528;4.48177
