mine_x;mine_y
3.5641;2.55024
2.74799;5.64667
6.71192;3.66949
1.09998;4.13627
3.00472;4.13176
0.519426;5.23886
3.05797;1.44092
3.59509;0.311123
0.302154;2.17953
0.914379;2.23069
2.76252;0.977914
3.75759;3.53512
5.22086;2.76152
6.25632;2.41402
2.18974;1.61449
6.30079;0.560197
2.85077;0.177558
5.59994;4.01214
2.27187;3.31702
5.65566;3.99776
3.26509;3.17058
0.454569;1.44872
1.88252;2.6468
0.117693;1.06463
1.40246;0.904915
5.56722;0.822458
0.310836;1.1298
1.97143;0.07742
4.73583;4.00819
3.37233;0.091151
6.05891;5.68337
6.90321;1.5764
0.062995;2.95359
3.80217;1.83643
0.716497;5.5746
6.67925;4.69548
6.3032;0.184959
3.62563;4.74724
2.43718;1.30106
3.03193;5.57993
5.06597;3.63662
4.1804;1.68196
