time;count;mine_x;mine_y;mine_z;robot_x;robot_y;robot_z
2.740000000000002;1;1.492;0.355772;0.008605;1.5759880209509693;0.46206702616084183;-6.582626322391288e-06
22.200000000000003;2;3.48507;0.535232;0.011655;3.472990850212848;0.4021430563546818;-1.0035000403807448e-05
25.165999999999997;3;2.01229;0.4474;0.009739;1.9991436760624313;0.5675753465887762;-1.2423390185763161e-05
36.255;4;0.842848;2.23214;0.01489;0.771303122783181;2.234744058218998;-1.127387789817344e-05
41.419;5;1.91215;4.63362;0.012419;1.8742930316278443;4.568149276396471;-9.957543963226567e-06
42.576;6;1.96031;4.99762;0.013477;2.0135659067047795;4.860886585434631;-1.7181939582645855e-05
49.736000000000004;7;3.07671;3.1096;0.013767;2.9316174029605873;3.0706759515982727;-9.86397312829207e-06
65.519;8;2.33401;1.47773;0.010349;2.2797658553715623;1.4246548214611154;-1.6033002723084278e-05
78.737;9;2.32202;2.66798;0.01486;2.3251295328302715;2.78290067544761;-1.0910587218509321e-05
83.554;10;4.77265;2.56177;0.013595;4.728814434583391;2.625857046899306;-6.843914348551167e-06
109.161;11;1.93242;3.53691;0.013471;1.9025441700872967;3.5478641068124768;-6.484920980053682e-06
123.204;12;4.75332;2.32691;0.011151;4.887253247668405;2.335159068263745;-8.142865621632578e-06
130.149;13;2.05986;0.256127;0.012925;2.1059704672346284;0.2645417412013339;-1.1809762121117728e-05
139.24200000000002;14;0.542789;0.955343;0.008359;0.5034947104886809;1.0649533778860178;-1.2076665452994545e-05
156.659;15;4.54458;1.40532;0.01105;4.475065766351976;1.510251344400387;-9.866360249122935e-06
161.99599999999998;16;1.88127;0.777691;0.005243;1.883195455974815;0.8747651309218409;-7.727390212895757e-06
189.64600000000002;17;4.90177;3.7557;0.00572;4.9636309089228785;3.72082927713032;-6.451530989382004e-06
228.55599999999998;18;1.46884;2.2845;0.01336;1.4909715927619702;2.3570545051362775;-9.402691810839886e-06
247.238;19;4.58366;4.61665;0.008731;4.53604689101344;4.488846097931013;-7.752571946826464e-06
305.767;20;2.41189;1.65502;0.00639;2.4910818414601215;1.5471230492987504;-8.088433346008228e-06
308.269;21;1.23095;1.81257;0.010524;1.2987268216191277;1.9239555468364882;-1.0056991571048834e-05
349.694;22;2.3034;1.13003;0.009061;2.43403748675363;1.076121152627841;-1.0823594036618589e-05
350.916;23;2.15867;1.66993;0.006928;2.093241428926755;1.5813855199748452;-6.682799946554352e-06
398.73;24;4.85941;3.36106;0.011771;4.819320998304848;3.236415998823078;-1.0946539862645432e-05
417.047;25;0.300801;4.30958;0.005981;0.3761769054395307;4.273745200335226;-9.688282875060933e-06
433.927;26;1.00943;0.304912;0.012333;0.9657341775520877;0.4360327446952694;-9.670696568358367e-06
848.397;27;0.504805;3.06031;0.005786;0.5400778703504002;3.1694603711541998;-8.042934228933568e-06
1110.892;28;0.030153;3.00487;0.012609;0.17943687420094367;3.027737495515269;-1.2113628609103366e-05
1164.507;29;4.71622;1.17347;0.013536;4.707080134807847;1.0390003002669106;-9.39016586863975e-06
