mine_x;mine_y
1.38547;2.64388
2.303;4.83878
1.91454;2.57232
5.37816;3.89248
0.646894;4.74435
1.39184;1.52467
5.7654;2.91477
5.97546;1.72217
0.149915;0.304071
2.49654;1.05075
5.77896;4.13669
1.19437;1.18244
2.71951;3.50662
3.86911;1.31844
2.81581;0.773163
4.65941;4.31643
1.8598;4.71817
4.28801;0.310848
0.821515;0.513924
0.874437;3.15862
4.26325;0.771426
5.60972;0.157183
1.15597;4.85504
4.63981;2.26249
3.34462;2.03263
4.10475;2.68493
5.63109;1.00448
3.16225;4.62538
2.09427;2.29247
4.53299;2.12853
