mine_x;mine_y
4.27409;3.4202
3.20027;0.669082
0.595018;2.16384
1.7655;0.530147
4.43484;1.91178
0.527867;4.11705
5.05999;4.03937
4.30548;2.08379
4.51603;3.8683
2.78059;2.24637
3.54753;0.058753
2.1579;0.976911
1.84346;0.887498
2.16735;3.40844
5.04121;3.82916
2.83118;4.69405
4.2872;0.799821
1.74734;1.24098
0.017594;3.4864
1.46661;1.99942
3.93517;3.06931
2.27914;4.03591
4.22258;0.342949
1.01433;0.106835
1.20456;4.00795
1.86775;0.678317
4.32445;3.23553
0.115608;4.91916
5.02697;3.86963
1.93306;1.28863
