mine_x;mine_y
1.86385;4.49542
4.30388;1.00152
0.312983;4.96434
5.74885;0.17479
4.30333;3.21243
1.90841;0.203486
0.330716;1.05096
0.659015;2.93122
1.44856;0.409411
0.733061;2.2332
3.2051;1.83756
1.63019;4.09155
5.82784;3.75101
0.815394;1.21691
5.01313;4.48574
4.4933;4.09098
2.47629;3.48082
1.09097;2.53939
1.74741;0.252461
1.34427;3.32409
0.161306;1.30664
0.516385;1.49889
0.426649;4.39883
3.31699;3.8245
4.37248;1.39819
1.07721;2.49426
0.651884;3.50329
1.08266;4.72689
5.3037;0.994475
5.0709;0.590522
