mine_x;mine_y
3.51046;1.62232
4.52083;1.5013
0.455018;1.48472
5.91005;2.87499
0.03721;3.82652
1.66534;2.10301
3.8812;1.50398
0.196603;0.681714
3.04248;4.59542
1.68964;0.851436
1.01756;1.13035
3.50935;0.033119
2.00966;1.14584
0.356095;4.35124
4.55216;2.9686
0.083751;4.85377
2.23251;0.130863
0.711549;2.63027
3.74944;2.41408
4.68966;0.020618
3.46697;2.0171
5.54897;0.165593
5.81743;2.76079
0.265834;1.72413
3.07163;2.6737
0.501046;3.07194
3.57906;1.04036
5.10822;2.27598
5.03318;4.48565
3.46537;3.88211
