mine_x;mine_y
4.87834;0.050438
0.167727;2.54241
0.374118;0.744268
5.6265;1.68873
1.35368;0.744898
5.25819;1.80766
0.464809;3.07029
1.91539;2.49337
3.24273;0.186738
5.4425;1.77137
1.05555;1.48863
1.74735;3.45861
4.10369;0.236514
4.41181;2.44134
0.233048;1.31169
0.658561;2.4948
3.79498;0.688227
4.57386;3.37093
3.2316;0.947029
4.25241;4.11401
1.06827;2.60141
5.34457;0.274604
4.15821;1.57674
5.69541;1.67701
1.79547;0.813647
3.85644;0.859831
5.60214;1.32552
4.23225;3.99464
1.62466;1.10588
4.77467;0.535339
