mine_x;mine_y
1.67025;2.14891
1.32921;0.195374
4.96274;2.18033
3.85428;1.31996
5.14368;4.52964
0.038822;2.9753
3.49041;0.295374
5.65662;1.04853
0.018685;2.84114
5.07648;1.91852
2.49072;4.40775
5.50569;4.28787
5.00081;4.62102
1.94563;4.09299
2.00701;1.27375
5.73547;4.73751
3.16313;3.56201
4.77159;4.75029
0.224509;2.51686
0.805737;0.088607
1.41031;1.17878
2.04938;4.96739
4.59674;1.75749
3.29685;0.134903
3.32852;4.27715
2.28679;0.845046
0.46705;2.85634
0.33358;0.212066
5.94997;4.14301
5.35477;4.22746
